,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
10,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772
11,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724
12,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938
13,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717
14,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084
15,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332
16,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902
17,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728
18,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042
19,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481
