,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
14,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553,11858.380344296553
15,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587,11739.796540853587
16,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051,11622.398575445051
17,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906,11506.1745896906
18,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695,11391.112843793695
19,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,0.0,0.0,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757,11277.201715355757
20,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,0.0,0.0,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022,11164.4296982022
21,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,0.0,0.0,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177,11052.785401220177
22,10942.257547207975,10942.257547207975,10942.257547207975,10942.257547207975,10942.257547207975,10942.257547207975,10942.257547207975,10942.257547207975,0.0,0.0,0.0,10942.257547207975,10942.257547207975,10942.257547207975,0.0,0.0,10942.257547207975,10942.257547207975
23,10832.834971735896,10832.834971735896,10832.834971735896,10832.834971735896,10832.834971735896,10832.834971735896,10832.834971735896,10832.834971735896,0.0,0.0,0.0,10832.834971735896,10832.834971735896,10832.834971735896,0.0,0.0,0.0,10832.834971735896
24,10724.506622018536,10724.506622018536,10724.506622018536,10724.506622018536,10724.506622018536,10724.506622018536,10724.506622018536,10724.506622018536,0.0,0.0,0.0,0.0,10724.506622018536,10724.506622018536,0.0,0.0,0.0,10724.506622018536
